[16:57:31:965] 36
[16:57:32:13] 9
[16:57:32:35] 8
[16:57:32:54] 8
[16:57:32:71] 7
[16:57:32:95] 11
[16:57:32:115] 9
[16:57:32:134] 8
[16:57:32:155] 10
[16:57:32:175] 9
[16:57:32:322] 17
[16:57:32:344] 9
[16:57:32:362] 8
[16:57:32:407] 14
[16:57:32:431] 9
[16:57:32:453] 7
[16:57:32:470] 7
[16:57:32:487] 7
[16:57:32:504] 7
[16:57:32:523] 8
[16:57:32:672] 20
[16:57:32:694] 9
[16:57:32:721] 12
[16:57:32:743] 10
[16:57:32:768] 10
[16:57:32:795] 12
[16:57:32:818] 10
[16:57:32:844] 11
[16:57:32:869] 10
[16:57:32:903] 10
[16:57:33:85] 25
[16:57:33:109] 9
[16:57:33:132] 10
[16:57:33:158] 9
[16:57:33:184] 12
[16:57:33:228] 8
[16:57:33:279] 8
[16:57:33:320] 12
[16:57:33:352] 9
[16:57:33:401] 9
[16:57:33:560] 17
[16:57:33:617] 11
[16:57:33:654] 10
[16:57:33:686] 13
[16:57:33:722] 14
[16:57:33:792] 12
[16:57:33:824] 9
[16:57:33:861] 9
[16:57:33:895] 9
[16:57:33:929] 9
[16:57:34:90] 20
[16:57:34:124] 20
[16:57:34:148] 8
[16:57:34:172] 7
[16:57:34:196] 7
[16:57:34:223] 7
[16:57:34:243] 8
[16:57:34:273] 7
[16:57:34:297] 7
[16:57:34:322] 7
[16:57:34:472] 17
[16:57:34:499] 7
[16:57:34:522] 7
[16:57:34:546] 6
[16:57:34:564] 7
[16:57:34:591] 8
[16:57:34:618] 9
[16:57:34:636] 9
[16:57:34:658] 9
[16:57:34:676] 9
[16:57:34:832] 19
[16:57:34:849] 8
[16:57:34:867] 9
[16:57:34:895] 9
[16:57:34:927] 14
[16:57:34:951] 9
[16:57:35:3] 11
[16:57:35:33] 8
[16:57:35:62] 6
[16:57:35:81] 7
[16:57:35:227] 10
[16:57:35:251] 7
[16:57:35:268] 6
[16:57:35:295] 7
[16:57:35:322] 6
[16:57:35:340] 7
[16:57:35:367] 7
[16:57:35:387] 9
[16:57:35:411] 12
[16:57:35:433] 11
[16:57:35:590] 27
[16:57:35:617] 15
[16:57:35:647] 18
[16:57:35:676] 18
[16:57:35:706] 18
[16:57:35:736] 19
[16:57:35:765] 18
[16:57:35:800] 24
[16:57:35:822] 10
[16:57:35:843] 10
[16:57:35:989] 19
[16:57:36:16] 16
[16:57:36:34] 7
[16:57:36:57] 12
[16:57:36:76] 8
[16:57:36:93] 7
[16:57:36:110] 7
[16:57:36:135] 11
[16:57:36:161] 9
[16:57:36:184] 10
[16:57:36:326] 13
[16:57:36:345] 9
[16:57:36:365] 8
[16:57:36:385] 9
[16:57:36:407] 8
[16:57:36:428] 9
[16:57:36:451] 12
[16:57:36:471] 8
[16:57:36:491] 9
[16:57:36:511] 7
[16:57:36:653] 12
[16:57:36:677] 9
[16:57:36:698] 9
[16:57:36:722] 11
[16:57:36:741] 8
[16:57:36:762] 10
[16:57:36:781] 8
[16:57:36:800] 8
[16:57:36:821] 8
[16:57:36:842] 8
[16:57:36:985] 13
[16:57:37:4] 9
[16:57:37:25] 11
[16:57:37:46] 9
[16:57:37:69] 10
[16:57:37:88] 9
[16:57:37:106] 7
[16:57:37:126] 10
[16:57:37:144] 9
[16:57:37:163] 9
[16:57:37:305] 14
[16:57:37:325] 8
[16:57:37:343] 8
[16:57:37:362] 8
[16:57:37:380] 8
[16:57:37:400] 8
[16:57:37:418] 8
[16:57:37:436] 8
[16:57:37:454] 8
[16:57:37:474] 9
[16:57:37:617] 14
[16:57:37:636] 8
[16:57:37:655] 8
[16:57:37:672] 7
[16:57:37:692] 8
[16:57:37:710] 8
[16:57:37:729] 8
[16:57:37:748] 8
[16:57:37:768] 8
[16:57:37:789] 10
[16:57:37:939] 17
[16:57:37:959] 8
[16:57:37:980] 10
[16:57:37:999] 8
[16:57:38:19] 8
[16:57:38:37] 8
[16:57:38:56] 8
[16:57:38:75] 8
[16:57:38:94] 9
[16:57:38:115] 9
[16:57:38:262] 15
[16:57:38:280] 7
[16:57:38:307] 12
[16:57:38:330] 10
[16:57:38:350] 10
[16:57:38:373] 9
[16:57:38:400] 11
[16:57:38:420] 10
[16:57:38:440] 9
[16:57:38:461] 8
[16:57:38:608] 16
[16:57:38:628] 7
[16:57:38:648] 8
[16:57:38:669] 9
[16:57:38:695] 13
[16:57:38:718] 9
[16:57:38:738] 9
[16:57:38:757] 9
[16:57:38:779] 10
[16:57:38:801] 9
[16:57:38:943] 14
[16:57:38:966] 9
[16:57:38:993] 12
[16:57:39:20] 16
[16:57:39:42] 10
[16:57:39:62] 7
[16:57:39:83] 9
[16:57:39:105] 9
[16:57:39:128] 11
[16:57:39:150] 9
[16:57:39:292] 13
[16:57:39:313] 9
[16:57:39:333] 8
[16:57:39:352] 8
[16:57:39:370] 8
[16:57:39:389] 8
[16:57:39:410] 8
[16:57:39:429] 9
[16:57:39:447] 7
[16:57:39:465] 8
[16:57:39:611] 16
[16:57:39:635] 7
[16:57:39:653] 8
[16:57:39:671] 8
[16:57:39:689] 7
[16:57:39:723] 19
[16:57:39:759] 16
[16:57:39:798] 13
[16:57:39:824] 11
[16:57:39:844] 9
[16:57:39:990] 14
[16:57:40:16] 10
[16:57:40:37] 9
[16:57:40:56] 8
[16:57:40:77] 9
[16:57:40:98] 9
[16:57:40:117] 7
[16:57:40:135] 8
[16:57:40:152] 7
[16:57:40:171] 9
[16:57:40:310] 12
[16:57:40:331] 7
[16:57:40:348] 7
[16:57:40:367] 8
[16:57:40:385] 8
[16:57:40:408] 11
[16:57:40:426] 8
[16:57:40:443] 7
[16:57:40:470] 14
[16:57:40:492] 9
[16:57:40:694] 19
[16:57:40:752] 9
[16:57:40:783] 9
[16:57:40:809] 11
[16:57:40:850] 9
[16:57:40:888] 11
[16:57:40:923] 9
[16:57:40:958] 8
[16:57:40:989] 10
[16:57:41:24] 9
[16:57:41:230] 51
[16:57:41:261] 19
[16:57:41:295] 10
[16:57:41:334] 19
[16:57:41:363] 11
[16:57:41:416] 31
[16:57:41:450] 23
[16:57:41:484] 22
[16:57:41:535] 20
[16:57:41:566] 14
[16:57:41:772] 22
[16:57:41:816] 26
[16:57:41:848] 9
[16:57:41:896] 15
[16:57:41:927] 9
[16:57:41:965] 11
[16:57:42:20] 11
[16:57:42:92] 26
[16:57:42:145] 9
[16:57:42:186] 9
[16:57:42:356] 19
[16:57:42:396] 24
[16:57:42:457] 26
[16:57:42:492] 22
[16:57:42:559] 19
[16:57:42:592] 9
[16:57:42:656] 35
[16:57:42:689] 13
[16:57:42:709] 7
[16:57:42:730] 7
[16:57:42:889] 13
[16:57:42:907] 7
[16:57:42:935] 7
[16:57:42:952] 6
[16:57:42:978] 8
[16:57:43:26] 7
[16:57:43:71] 10
[16:57:43:273] 21
[16:57:43:310] 20
[16:57:43:344] 14
[16:57:43:507] 30
[16:57:43:560] 31
[16:57:43:641] 28
[16:57:43:697] 34
[16:57:43:733] 16
[16:57:43:762] 9
[16:57:43:818] 7
[16:57:43:850] 12
[16:57:43:895] 24
[16:57:43:933] 18
[16:57:44:95] 20
[16:57:44:126] 15
[16:57:44:154] 8
[16:57:44:197] 19
[16:57:44:238] 16
[16:57:44:289] 10
[16:57:44:327] 10
[16:57:44:373] 18
[16:57:44:408] 16
[16:57:44:439] 14
[16:57:44:626] 44
[16:57:44:655] 10
[16:57:44:689] 9
[16:57:44:716] 7
[16:57:44:747] 7
[16:57:44:780] 9
[16:57:44:814] 9
[16:57:44:841] 7
[16:57:44:869] 11
[16:57:44:898] 11
[16:57:45:58] 20
[16:57:45:90] 11
[16:57:45:116] 8
[16:57:45:149] 9
[16:57:45:178] 7
[16:57:45:206] 9
[16:57:45:230] 7
[16:57:45:257] 8
[16:57:45:286] 8
[16:57:45:314] 7
[16:57:45:470] 18
[16:57:45:503] 10
[16:57:45:535] 7
[16:57:45:561] 7
[16:57:45:591] 9
[16:57:45:622] 9
[16:57:45:653] 12
[16:57:45:684] 10
[16:57:45:713] 11
[16:57:45:745] 10
[16:57:45:901] 20
[16:57:45:933] 11
[16:57:45:960] 8
